+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|    167 | I7     | I6     |  ....  |  ....  | I5     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    168 | I7     | I6     |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    169 | I8     | I7     | I6     |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    170 | I9     | I8     | I7     | I6     |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    171 | I10    | I9     | I8     | I7     | I6     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    172 | I11    | I10    | I9     | I8     | I7     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    173 | I12    | I11    | I10    | I9     | I8     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    174 | I13    | I12    | I11    | I10    | I9     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    175 | I14    | I13    | I12    | I11    | I10    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    176 | I15    | I14    | I13    | I12    | I11    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    177 | I16    | I15    | I14    | I13    | I12    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    178 | I17    | I16    | I15    | I14    | I13    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    179 | I18    | I17    | I16    | I15    | I14    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    180 | I19    | I18    | I17    | I16    | I15    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    181 | I20    | I19    | I18    | I17    | I16    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    182 | I21    | I20    | I19    | I18    | I17    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    183 | I22    | I21    | I20    | I19    | I18    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    184 | I23    | I22    | I21    | I20    | I19    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    185 | I23    | I22    |  ....  | I21    | I20    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    186 | I23    | I22    |  ....  |  ....  | I21    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    187 | I23    | I22    |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    188 | I24    | I23    | I22    |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    189 | I25    | I24    | I23    | I22    |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    190 | I25    | I24    |  ....  | I23    | I22    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    191 | I25    | I24    |  ....  |  ....  | I23    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    192 | I25    | I24    |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    193 | I26    | I25    | I24    |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    194 | I27    | I26    | I25    | I24    |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    195 | I27    | I26    |  ....  | I25    | I24    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    196 | I27    | I26    |  ....  |  ....  | I25    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    197 | I27    | I26    |  ....  |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    198 | I28    | I27    | I26    |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    199 | I29    | I28    | I27    | I26    |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    200 | I29    | I28    |  ....  | I27    | I26    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    201 | I29    | I28    |  ....  |  ....  | I27    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    202 | I29    | I28    |  ....  |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    203 | I30    | I29    | I28    |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    204 | I30    | I29    |  ....  | I28    |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    205 | I30    | I29    |  ....  |  ....  | I28    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    206 | I30    | I29    |  ....  |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    207 | I31    | I30    | I29    |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    208 | I32    | I31    | I30    | I29    |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    209 | I33    | I32    | I31    | I30    | I29    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    210 | I34    | I33    | I32    | I31    | I30    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    211 | I35    | I34    | I33    | I32    | I31    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    212 | I36    | I35    | I34    | I33    | I32    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    213 | I37    | I36    | I35    | I34    | I33    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    214 | I38    | I37    | I36    | I35    | I34    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    215 | I39    | I38    | I37    | I36    | I35    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    216 | I40    | I39    | I38    | I37    | I36    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    217 | I41    | I40    | I39    | I38    | I37    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    218 | I42    | I41    | I40    | I39    | I38    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    219 | I43    | I42    | I41    | I40    | I39    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    220 | I44    | I43    | I42    | I41    | I40    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    221 | I45    | I44    | I43    | I42    | I41    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    222 | I46    | I45    | I44    | I43    | I42    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    223 | I47    | I46    | I45    | I44    | I43    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    224 | I48    | I47    | I46    | I45    | I44    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    225 | I99    |  ....  |  ....  | I46    | I45    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    226 |  ....  | I99    |  ....  |  ....  | I46    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    227 |  ....  |  ....  | I99    |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    228 | I2     |  ....  |  ....  | I99    |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    229 | I3     | I2     |  ....  |  ....  | I99    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    230 | I4     | I3     | I2     |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    231 | I4     |  ....  |  ....  | I2     |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    232 | I5     | I4     |  ....  |  ....  | I2     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    233 | I6     | I5     | I4     |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    234 | I7     | I6     | I5     | I4     |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    235 | I7     | I6     |  ....  | I5     | I4     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    236 | I7     | I6     |  ....  |  ....  | I5     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
|    237 | I7     | I6     |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    238 | I8     | I7     | I6     |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    239 | I9     | I8     | I7     | I6     |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    240 | I10    | I9     | I8     | I7     | I6     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    241 | I11    | I10    | I9     | I8     | I7     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    242 | I12    | I11    | I10    | I9     | I8     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    243 | I13    | I12    | I11    | I10    | I9     |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    244 | I14    | I13    | I12    | I11    | I10    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    245 | I15    | I14    | I13    | I12    | I11    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    246 | I16    | I15    | I14    | I13    | I12    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    247 | I17    | I16    | I15    | I14    | I13    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    248 | I18    | I17    | I16    | I15    | I14    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    249 | I19    | I18    | I17    | I16    | I15    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    250 | I20    | I19    | I18    | I17    | I16    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    251 | I21    | I20    | I19    | I18    | I17    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    252 | I22    | I21    | I20    | I19    | I18    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    253 | I23    | I22    | I21    | I20    | I19    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    254 | I23    | I22    |  ....  | I21    | I20    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    255 | I23    | I22    |  ....  |  ....  | I21    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    256 | I23    | I22    |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    257 | I24    | I23    | I22    |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    258 | I25    | I24    | I23    | I22    |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    259 | I25    | I24    |  ....  | I23    | I22    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    260 | I25    | I24    |  ....  |  ....  | I23    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    261 | I25    | I24    |  ....  |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    262 | I26    | I25    | I24    |  ....  |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    263 | I27    | I26    | I25    | I24    |  ....  |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    264 | I27    | I26    |  ....  | I25    | I24    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    265 | I27    | I26    |  ....  |  ....  | I25    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    266 | I27    | I26    |  ....  |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    267 | I28    | I27    | I26    |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    268 | I29    | I28    | I27    | I26    |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    269 | I29    | I28    |  ....  | I27    | I26    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    270 | I29    | I28    |  ....  |  ....  | I27    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    271 | I29    | I28    |  ....  |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    272 | I30    | I29    | I28    |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    273 | I30    | I29    |  ....  | I28    |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    274 | I30    | I29    |  ....  |  ....  | I28    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    275 | I30    | I29    |  ....  |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    276 | I31    | I30    | I29    |  ....  |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    277 | I32    | I31    | I30    | I29    |  ....  |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    278 | I33    | I32    | I31    | I30    | I29    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    279 | I34    | I33    | I32    | I31    | I30    |  140000|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    280 | I35    | I34    | I33    | I32    | I31    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    281 | I36    | I35    | I34    | I33    | I32    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    282 | I37    | I36    | I35    | I34    | I33    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    283 | I38    | I37    | I36    | I35    | I34    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    284 | I39    | I38    | I37    | I36    | I35    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    285 | I40    | I39    | I38    | I37    | I36    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    286 | I41    | I40    | I39    | I38    | I37    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    287 | I42    | I41    | I40    | I39    | I38    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    288 | I43    | I42    | I41    | I40    | I39    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    289 | I44    | I43    | I42    | I41    | I40    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    290 | I45    | I44    | I43    | I42    | I41    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    291 | I46    | I45    | I44    | I43    | I42    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    292 | I47    | I46    | I45    | I44    | I43    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    293 | I48    | I47    | I46    | I45    | I44    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    294 |  ....  |  ....  |  ....  | I46    | I45    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    295 |  ....  |  ....  |  ....  |  ....  | I46    |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|           Register Values at Termination            |       0|  140000|       0|       a|       0|       8|       8|fdcc8400|       0|       0|       0|       0|       0|       0|       0|       0|
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
