+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|     39 | I68    | I67    |  ....  |  ....  | I66    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     40 | I68    | I67    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     41 | I69    | I68    | I67    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     42 | I70    | I69    | I68    | I67    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     43 | I70    | I69    |  ....  | I68    | I67    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     44 | I70    | I69    |  ....  |  ....  | I68    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     45 | I70    | I69    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     46 | I71    | I70    | I69    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     47 | I72    | I71    | I70    | I69    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     48 | I72    | I71    |  ....  | I70    | I69    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     49 | I72    | I71    |  ....  |  ....  | I70    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     50 | I72    | I71    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     51 | I73    | I72    | I71    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     52 | I73    | I72    |  ....  | I71    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     53 | I73    | I72    |  ....  |  ....  | I71    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     54 | I73    | I72    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     55 | I74    | I73    | I72    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
